nom,code_postal,commune,numero,voie,lieu_dit,site_internet,longitude,latitude,personnel_aidant,largeur_entree,aide_audition,entree_balise_sonore,sanitaires_pmr,stationnement_pmr,labels,types_handicap,difficulte_chemin_ext,difficulte_entree,difficulte_chemin_accueil,score
Amelie Bertin kinesitherapeute DIU rééducation en pelvi- perineologie,40440,Ondres,1446,Avenue du 11 Novembre 1918,,,-1.443896,43.566747,1,90,,,,1,,,,1,,1.45
Amélie Valsangiacomo,29590,LE FAOU,36,Rue DU GENERAL DE GAULLE,,http://gwennili-librairie.fr,-4.179918,48.294993,1,100,,,1,1,,,,1,1,2.27
Amelsa Distribution,10600,La Chapelle-Saint-Luc,118,Avenue du Général Sarrail,,,4.032226502895356,48.30439993673731,,90,,,,1,,,1,,,1.0
Amelys,78570,Andrésy,39,Rue du Maréchal Foch,,,2.064405853368925,48.987972323793166,,90,,,,,,,,1,,0.55
Ameublement Saint Vincent,69001,Lyon,46,Quai Saint Vincent,,,4.827602,45.768296,1,100,,,,1,,,,,1,1.55
Ami Clichy,92110,Clichy,24,Boulevard Jean Jaurès,,,2.307936,48.898103,1,75,,,,,,,,,,0.82
Amphi,01000,Bourg-en-Bresse,1,Allee des Brotteaux,,,5.230481,46.209005,1,,,,1,1,,,1,,,2.0
AMPHITHEATRE DES TROIS GAULES,69001,Lyon,,,Rue Lucien Sportisse,https://www.lyon-france.com/je-decouvre-lyon/sites-et-monuments/Antique/amphitheatre-des-trois-gaules,4.8297,45.77033,,,,,,,,,,,,0.36
Amplifon,92270,Bois-Colombes,55,Rue des Bourguignons,,,2.2743657231330876,48.91452189584302,1,,,,1,,,,,1,,1.55
Ancienne Mairie /Musée d'histoire Locale,92500,Rueil-Malmaison,,Rue Paul Vaillant Couturier,,https://www.villederueil.fr/fr/musee-dhistoire-locale,2.181685745454161,48.87767482278446,1,,1,,,1,,,,2,,1.73
ANES A CHRONIQUES,24390,Tourtoirac,,La Rougerie,,http://www.anesachronique.wordpress.com,1.075484,45.249173,,,,,,,th,moteur|auditif|mental,,,,1.0
Angélique Planiol / Sophrologue,21120,Is-sur-Tille,12,Rue François Mitterrand,,https://www.angelique-planiol.fr/,5.112058,47.526886,1,90,,,,1,,,,,,1.18
Angi Pressing,92270,BOIS COLOMBES,14,Rue MERTENS,,,2.272284328937531,48.914595929417786,1,90,,,,1,,,,1,,1.45
Angle,10150,Pont-Sainte-Marie,16,Rue Marc Verdier,,,4.110337793827058,48.326325789019606,,90,,,,1,,,1,,,1.0
Annabelle Massage,92270,Bois-Colombes,4,Rue Mertens,,https://annabelle-massage.business.site,2.273198,48.914114,,,,,,1,,,,1,,1.09
Anna Coiffure,78800,Houilles,3,Avenue de la République,,,2.190309,48.925005,,90,,,,1,,,,1,,1.0
Anna Retouches,78500,SARTROUVILLE,22,Avenue DE LA REPUBLIQUE,,,2.155822813510895,48.93721333580803,,90,,,,,,,,1,,0.55
Anne & Moty,92110,Clichy,60,Rue de Paris,,,2.304907,48.899924,1,80,,,,,,,1,1,1,1.64
Annexe Centre social Grand'Côte,69001,Lyon,5,Rue Jean-Baptiste Say,,https://www.cs-croixrousse.org/wp/,4.83132,45.773741,,90,,,,,,,,1,,0.55
ANNEXE DE L'HOTEL DE VILLE,69001,Lyon,1,Place Louis Pradel,,https://www.lyon.fr,4.835859239101411,45.76803562261286,1,90,,,1,1,,,1,,,1.91
Antenne solidarité du 2ème arrondissement,69002,Lyon,5,Rue d’Enghien,,http://www.lyon.fr,4.82695,45.752886,,,,,,,,,,,,0.36
Anthiraan Alimentation,92110,CLICHY,103,Rue HENRI BARBUSSE,,,2.3082071541921327,48.90105065986535,1,85,,,,,,,,,1,1.09
Antoine et Lili,69001,LYON 1ER,2,Rue DE FARGUES,,,4.829885959625245,45.76908338116629,1,100,,,,1,,,2,,1,1.55
Antoinette Pain & Brioche,69001,LYON 1ER,15,Rue HIPPOLYTE FLANDRIN,,,4.830776453018189,45.767837294671395,1,100,,,,1,,,,,,1.27
Antonin-Perrin,69100,Villeurbanne,53,Rue du Docteur Pierre-fleury Papillon,,http://www.villeurbanne.fr,4.8834940000000016,45.76026100000002,1,120,,,4,1,,,2,,,1.91
Antony Cordonnerie Serrurerie,92110,CLICHY,5,Place REPUBLIQUE F MITTERRAND,,,2.312773,48.902873,1,75,,,,,,,,1,1,1.36
Aouzal,92110,CLICHY,24,Boulevard JEAN JAURES,,,2.307936,48.898103,1,80,,,,,,,,1,1,1.36
A.P.A.J.H. Association pour Adultes et Jeunes Handicapés,76120,Le Grand-Quevilly,13,Rue Leterrier,,,1.0539016127586367,49.41347913150921,1,100,,,,1,,,2,,,1.27
Apeca,92270,Bois-Colombes,91 bis,Rue des Bourguignons,,,2.27704793214798,48.916422056197916,1,90,,,,,,,,1,,1.0
Apf France Handicap Delegation Departementale du Cantal,15000,AURILLAC,14,Rue DE LA JORDANNE,DELEGATION DEPARTEMENTALE DU CANTAL,http://dd15.blogs.apf.asso.fr/,2.4407431483268742,44.916464078450154,1,90,,,1,1,,,2,,,1.64
Aquagenie,78420,CARRIERES-SUR-SEINE,17,Avenue DU MARECHAL JUIN,CENTRE COMMERCIAL LES CATELAINES,,2.178723514080048,48.91179315325885,,90,,,,1,,,,,,0.73
AQUARIUM LA ROCHELLE,17000,La Rochelle,,Quai Louis Prunier,,https://www.aquarium-larochelle.com,-1.151713,46.148768,,,,,,,th,moteur|auditif|mental,,,,1.0
Aquascope,27740,Poses,,Rue du Barrage,,,1.235320866107941,49.308626970062,,100,,,,1,,,2,,,0.82
Aqua Spa Concept,78800,HOUILLES,24,Rue GAMBETTA,,,2.187537252902985,48.9221503025928,,90,,,,1,,,,,,0.73
ARA Hôtel ESSCOAT,29800,Landerneau,,Route de Traon Beuzit,,http://www.arahotel.fr/,-4.271869,48.457145,1,160,1,,1,1,th|dpt,moteur|auditif|mental|visuel,,,,3.18
Arc En Ciel Fashion,92110,Clichy,59,Rue de Paris,,,2.305034996825271,48.89959777673796,1,86,,,,,,,,1,1,1.36
Archi Chouette,69001,LYON 1ER,3,Place DU GRIFFON,,,4.836173057556153,45.769199381796014,1,100,,,,1,,,,1,2,1.55
Archipel Volcans,63122,Saint-Genès-Champanelle,,Route de Clermont Vge Laschamps,,https://www.archipel-volcans.com,2.967629,45.741521,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
Archives Départepentales de l'Aube,10000,Troyes,131,Rue Etienne Pedron,,,4.0733662247657785,48.31392631810653,1,80,,,,,,,,,,0.82
